id,num_tournaments,total_players,name,avg_players_per_tournament
170726,6,67,Person ID 170726,11.17
180894,6,66,Person ID 180894,11.00
155224,6,61,Person ID 155224,10.17
102617,6,59,Person ID 102617,9.83
141045,6,54,Person ID 141045,9.00
135188,6,39,Person ID 135188,6.50
142949,6,35,Person ID 142949,5.83
160986,6,34,Person ID 160986,5.67
100126,6,28,Person ID 100126,4.67
120817,5,288,Person ID 120817,57.60
100317,5,244,Person ID 100317,48.80
163765,5,218,Person ID 163765,43.60
125156,5,179,Person ID 125156,35.80
106693,5,159,Person ID 106693,31.80
176231,5,144,Person ID 176231,28.80
107443,5,141,Person ID 107443,28.20
157731,5,137,Person ID 157731,27.40
148330,5,136,Person ID 148330,27.20
100973,5,126,Person ID 100973,25.20
139695,5,126,Person ID 139695,25.20
131182,5,121,Person ID 131182,24.20
169252,5,120,Person ID 169252,24.00
170035,5,119,Person ID 170035,23.80
122008,5,110,Person ID 122008,22.00
149297,5,109,Person ID 149297,21.80
154677,5,108,Person ID 154677,21.60
106922,5,100,Person ID 106922,20.00
106687,5,94,Person ID 106687,18.80
105861,5,84,Person ID 105861,16.80
104579,5,78,Person ID 104579,15.60
101468,5,75,Person ID 101468,15.00
172014,5,74,Person ID 172014,14.80
111989,5,72,Person ID 111989,14.40
122106,5,72,Person ID 122106,14.40
165179,5,70,Person ID 165179,14.00
152636,5,67,Person ID 152636,13.40
105907,5,66,Person ID 105907,13.20
175381,5,65,Person ID 175381,13.00
110778,5,59,Person ID 110778,11.80
106106,5,58,Person ID 106106,11.60
121768,5,55,Person ID 121768,11.00
128828,5,54,Person ID 128828,10.80
102717,5,52,Person ID 102717,10.40
161269,5,50,Person ID 161269,10.00
175011,5,50,Person ID 175011,10.00
106527,5,45,Person ID 106527,9.00
103443,5,43,Person ID 103443,8.60
110779,5,42,Person ID 110779,8.40
101193,5,27,Person ID 101193,5.40
111065,5,27,Person ID 111065,5.40
110803,5,25,Person ID 110803,5.00
103030,5,24,Person ID 103030,4.80
156389,5,24,Person ID 156389,4.80
111929,5,20,Person ID 111929,4.00
111022,5,14,Person ID 111022,2.80
106802,4,238,Person ID 106802,59.50
165872,4,232,Person ID 165872,58.00
184564,4,122,Person ID 184564,30.50
170478,4,116,Person ID 170478,29.00
171476,4,91,Person ID 171476,22.75
100276,4,90,Person ID 100276,22.50
109682,4,90,Person ID 109682,22.50
123257,4,89,Person ID 123257,22.25
101210,4,87,Person ID 101210,21.75
135341,4,85,Person ID 135341,21.25
167334,4,84,Person ID 167334,21.00
149124,4,83,Person ID 149124,20.75
