id,num_tournaments,total_players,name,avg_players_per_tournament
187033,7,119,Person ID 187033,17.00
159603,7,115,Person ID 159603,16.43
185269,7,100,Person ID 185269,14.29
134433,7,97,Person ID 134433,13.86
170927,7,96,Person ID 170927,13.71
100117,7,81,Person ID 100117,11.57
106380,7,78,Person ID 106380,11.14
100195,7,77,Person ID 100195,11.00
110778,7,69,Person ID 110778,9.86
163238,7,68,Person ID 163238,9.71
140627,7,61,Person ID 140627,8.71
112863,7,46,Person ID 112863,6.57
108989,7,31,Person ID 108989,4.43
160333,6,427,Person ID 160333,71.17
100283,6,323,Person ID 100283,53.83
156155,6,298,Person ID 156155,49.67
184704,6,241,Person ID 184704,40.17
134277,6,234,Person ID 134277,39.00
162458,6,227,Person ID 162458,37.83
190104,6,150,Person ID 190104,25.00
151138,6,140,Person ID 151138,23.33
139695,6,136,Person ID 139695,22.67
100316,6,135,Person ID 100316,22.50
152913,6,124,Person ID 152913,20.67
135341,6,112,Person ID 135341,18.67
146267,6,105,Person ID 146267,17.50
105644,6,100,Person ID 105644,16.67
123041,6,100,Person ID 123041,16.67
187032,6,99,Person ID 187032,16.50
136913,6,96,Person ID 136913,16.00
157753,6,95,Person ID 157753,15.83
165770,6,90,Person ID 165770,15.00
102424,6,84,Person ID 102424,14.00
109456,6,84,Person ID 109456,14.00
103801,6,82,Person ID 103801,13.67
109017,6,82,Person ID 109017,13.67
129946,6,81,Person ID 129946,13.50
102717,6,75,Person ID 102717,12.50
141224,6,75,Person ID 141224,12.50
102582,6,70,Person ID 102582,11.67
111334,6,68,Person ID 111334,11.33
170726,6,67,Person ID 170726,11.17
102378,6,66,Person ID 102378,11.00
135747,6,66,Person ID 135747,11.00
154889,6,60,Person ID 154889,10.00
108248,6,55,Person ID 108248,9.17
106788,6,54,Person ID 106788,9.00
103901,6,51,Person ID 103901,8.50
108039,6,50,Person ID 108039,8.33
109412,6,49,Person ID 109412,8.17
123875,6,47,Person ID 123875,7.83
148282,6,46,Person ID 148282,7.67
112471,6,40,Person ID 112471,6.67
123322,6,39,Person ID 123322,6.50
129419,6,39,Person ID 129419,6.50
109975,6,37,Person ID 109975,6.17
102539,6,36,Person ID 102539,6.00
110140,6,32,Person ID 110140,5.33
100126,6,28,Person ID 100126,4.67
107575,6,26,Person ID 107575,4.33
